pcb_material,solder_type,coating_type,component_density,via_structure,surface_finish,process_line,chamber_id,laminate_vendor,thickness_mm,copper_layers,copper_weight_oz,thermal_cycles,temp_min_c,temp_max_c,temp_span_c,ramp_rate_c_per_min,dwell_hot_min,dwell_cold_min,humidity_percent,vacuum_kpa,vibration_rms_g,initial_scale_coeff,rework_count,pcb_area_cm2,hole_density_per_dm2,copper_imbalance_percent,void_fraction_percent,ionic_contamination_ug_cm2,board_age_days,cycles_per_day,peak_assembly_temp_c,inspection_delay_hours,tg_c,cte_z_ppm,moisture_absorption_percent,warp_energy_index,via_fatigue_index,solder_creep_index,delamination_risk_index,residual_stress_index,deformation_um,drift_percent,post_scale_coeff,exceeds_threshold,severe_threshold
FR4,SACXPlus,None,High,Through,ENIG,LineA,Chamber_1,VendorE,1.836,4,0.5,263,-20,70,90,13.002,49,12,26.69,0.505,9.729,,2,224.46,376.63,15.05,9.431,0.882,623,6.196,235,53.14,136.0,69.0,0.18,3.866,26.95,15.178,9.753,2.673,4.189,0.9582,1.01305,0,0
Rogers,SACXPlus,Acrylic,UltraHigh,Through,ENIG,LineA,Chamber_1,VendorD,1.152,6,2.0,1416,-40,125,165,12.352,61,21,49.31,0.219,6.672,1.001723,0,189.75,642.23,27.5,0.499,1.132,369,3.713,235,28.41,287.0,31.0,0.05,16.588,131.03,121.848,6.582,2.936,13.653,3.6085,1.03787,1,0
Polyimide,SACXPlus,None,Medium,Microvia,HASL,LineB,Chamber_1,VendorE,2.23,4,1.0,262,-20,70,90,14.305,92,102,,0.337,10.964,1.010254,0,43.86,22.99,21.79,3.115,2.088,25,4.576,245,26.34,255.0,47.0,0.27,0.948,32.636,16.704,6.191,1.909,4.867,1.0083,1.020441,0,0
Ceramic,SACXPlus,None,High,Through,ImmAg,LineD,Chamber_2,VendorC,0.913,8,3.0,1393,-20,85,105,1.879,84,90,45.03,0.863,6.916,0.994487,0,230.55,417.64,19.53,4.468,0.195,420,1.65,265,54.15,400.0,8.0,0.01,11.416,93.984,83.567,3.708,2.912,16.269,2.8837,1.023165,0,0
FR4,SACXPlus,Silicone,Medium,Through,ENIG,LineB,Chamber_2,VendorA,0.718,4,1.0,2114,-20,150,170,13.982,35,52,42.32,17.857,3.149,1.012677,0,129.47,339.44,27.57,2.683,0.884,606,6.482,245,,136.0,69.0,0.18,12.48,202.883,214.757,57.719,4.78,27.16,6.135,1.074805,1,1
Rogers,SnAgCu,None,Medium,BlindBuried,ENIG,LineB,Chamber_1,VendorD,2.119,2,1.0,1643,-20,125,145,9.239,85,114,94.58,0.123,14.342,1.02382,0,145.47,657.45,27.38,5.247,0.219,646,6.221,245,34.18,287.0,31.0,0.05,4.27,128.369,172.499,11.06,4.22,23.68,5.2078,1.077138,1,0
Rogers,SACXPlus,None,Medium,Through,HASL,LineC,Chamber_3,VendorC,1.752,6,0.5,1462,-55,85,140,6.184,19,13,55.88,6.665,15.213,0.987247,1,80.82,140.22,27.19,5.565,1.694,689,5.445,245,8.47,287.0,31.0,0.05,2.706,90.384,84.661,8.518,3.778,19.263,2.9468,1.016339,0,0
Ceramic,SnPb,Silicone,UltraHigh,BlindBuried,HASL,LineA,Chamber_2,VendorC,2.699,2,1.0,1998,-65,85,150,11.297,27,93,70.13,0.067,17.425,0.996951,0,205.95,391.11,18.55,1.218,0.604,53,7.14,255,59.5,400.0,8.0,0.01,5.525,152.791,193.726,3.847,4.507,31.132,4.7364,1.044171,1,0
FR4,SnAgCu,Acrylic,Medium,BlindBuried,HASL,LineB,Chamber_3,VendorB,1.22,6,1.0,1813,-55,105,160,14.552,96,118,22.09,0.069,3.613,0.983322,2,212.71,137.14,10.9,,1.014,612,1.07,245,25.24,136.0,69.0,0.18,6.738,191.928,161.486,18.227,2.694,22.63,4.9923,1.032412,1,0
HighTg_FR4,SnPb,None,High,Through,ENIG,LineB,Chamber_1,VendorD,0.959,6,1.0,1623,-65,105,170,2.587,109,56,97.75,0.4,5.606,0.988418,0,199.13,604.16,13.71,,0.15,292,4.667,255,40.89,172.0,55.0,0.13,11.604,214.214,200.937,13.699,3.467,29.021,5.4096,1.041888,1,1
FR4,SnAgCu,None,Low,Microvia,,LineC,Chamber_1,VendorD,0.749,4,3.0,1256,-55,70,125,14.685,85,62,51.79,0.755,5.054,1.004711,1,63.98,247.78,23.15,0.725,0.831,63,2.97,235,29.8,136.0,69.0,0.18,3.827,190.786,76.943,12.112,2.545,19.553,4.889,1.053832,1,0
FR4,SnAgCu,None,High,BlindBuried,ENIG,LineC,Chamber_1,VendorB,1.633,4,1.0,882,-65,85,150,10.594,58,30,12.92,0.212,16.742,0.979773,0,46.24,326.13,30.95,1.153,1.45,312,5.221,255,44.0,136.0,69.0,0.18,2.612,110.18,64.528,9.95,3.024,19.396,2.0627,0.999983,0,0
Polyimide,SnAgCu,None,Medium,BlindBuried,ENIG,LineB,Chamber_2,VendorE,0.912,2,1.0,1378,-55,125,180,11.465,108,104,62.05,42.118,10.753,0.990645,1,234.77,487.6,24.57,4.912,1.244,458,0.486,265,38.18,255.0,47.0,0.27,17.295,218.03,147.123,15.168,2.341,35.725,6.2798,1.052856,1,1
Ceramic,SnAgCu,Parylene,UltraHigh,Through,HASL,LineC,Chamber_1,VendorB,2.329,6,1.0,270,-40,85,125,15.918,46,89,35.27,0.507,16.604,1.012644,1,211.66,204.14,26.9,3.776,0.736,443,2.713,245,69.04,400.0,8.0,0.01,6.89,36.834,21.686,3.23,2.65,2.169,1.7587,1.030454,0,0
Rogers,SnPb,NanoCeramic,High,Microvia,ENIG,LineB,Chamber_1,VendorA,0.851,4,1.0,1943,-65,125,190,13.012,79,54,33.04,,16.026,1.002681,1,208.14,102.1,9.93,0.52,0.349,54,1.102,235,68.98,287.0,31.0,0.05,12.987,401.05,280.673,5.155,2.435,46.152,7.7427,1.080316,1,1
FR4,SACXPlus,Acrylic,Low,Through,HASL,LineA,Chamber_3,VendorA,2.634,8,1.0,1952,-55,85,140,10.837,84,32,35.17,95.626,4.415,1.009216,0,191.14,323.52,14.9,3.598,0.946,78,3.941,245,12.69,136.0,69.0,0.18,2.372,87.145,115.497,10.316,3.011,9.353,2.6253,1.035711,0,0
HighTg_FR4,SnPb,Acrylic,High,BlindBuried,,LineD,Chamber_2,VendorC,1.836,6,2.0,606,-55,105,160,6.58,14,59,47.44,0.344,7.701,0.984477,0,41.65,270.59,25.39,6.779,0.812,49,7.877,245,64.36,172.0,55.0,0.13,2.383,110.379,72.893,8.452,3.093,10.342,1.9596,1.003769,0,0
HighTg_FR4,SnPb,Parylene,High,Through,HASL,LineC,Chamber_2,VendorA,2.162,4,2.0,1675,-65,105,170,9.577,116,57,32.42,5.516,7.445,1.000813,0,132.27,261.13,29.61,6.282,1.394,56,0.77,265,31.85,172.0,55.0,0.13,6.066,144.03,207.655,8.12,2.087,19.693,4.7154,1.048006,1,0
FR4,SnAgCu,Silicone,Medium,StackedMicrovia,OSP,LineD,Chamber_2,VendorD,0.975,2,2.0,1540,-40,85,125,15.189,79,47,77.64,14.564,8.764,,1,43.62,25.21,17.42,0.445,0.347,56,7.852,265,33.98,136.0,69.0,0.18,2.345,216.511,111.705,13.019,4.206,27.035,4.2669,1.066276,1,0
FR4,SnPb,None,Medium,Through,ImmAg,LineC,Chamber_2,VendorD,0.888,4,3.0,1885,-20,105,125,17.924,33,102,22.46,0.392,17.959,0.992057,0,111.82,549.92,0.62,1.433,0.861,139,6.06,245,53.3,136.0,69.0,0.18,3.036,176.389,225.896,15.956,4.217,27.738,4.5265,1.036963,1,0
HighTg_FR4,SnAgCu,None,High,StackedMicrovia,OSP,LineA,Chamber_2,VendorC,1.443,4,1.0,1983,-40,70,110,13.806,100,48,19.06,0.077,3.128,0.994144,1,53.87,523.07,30.11,4.491,1.021,103,7.551,255,36.73,172.0,55.0,0.13,2.494,181.559,119.361,6.465,4.499,21.531,3.9141,1.033056,1,0
FR4,SACXPlus,Acrylic,High,StackedMicrovia,HASL,LineB,Chamber_1,VendorE,1.793,4,0.5,1647,-40,125,165,14.391,49,19,15.61,20.478,13.904,1.00698,2,124.44,498.76,3.31,2.348,0.149,545,6.819,255,51.97,136.0,69.0,0.18,2.349,192.919,141.194,41.35,4.405,19.466,4.177,1.049042,1,0
Polyimide,SnAgCu,Silicone,Medium,BlindBuried,ImmAg,LineB,Chamber_1,VendorE,1.909,12,0.5,2063,-20,125,145,12.83,15,97,43.75,0.45,4.097,,0,167.1,299.6,18.01,7.407,0.47,386,3.857,255,30.47,255.0,47.0,0.27,3.984,152.063,211.293,8.072,3.495,11.725,3.6416,1.025224,1,0
HighTg_FR4,LowTemp,None,High,Through,ImmAg,LineA,Chamber_2,VendorC,1.393,4,2.0,742,-40,85,125,13.992,83,89,16.38,0.575,13.309,1.008607,0,204.71,356.96,16.29,1.79,0.987,409,4.018,235,,172.0,55.0,0.13,7.144,106.558,97.632,7.045,2.75,10.022,2.5244,1.034068,0,0
Rogers,LowTemp,Acrylic,Medium,BlindBuried,ENIG,LineB,Chamber_1,VendorA,1.273,4,1.0,999,-65,105,170,4.983,21,9,8.31,1.17,3.649,0.97844,4,35.9,471.35,32.71,2.338,0.399,537,0.533,255,35.62,287.0,31.0,0.05,2.493,213.526,152.804,4.517,2.329,18.643,4.1451,1.018997,1,0
Polyimide,SnPb,Acrylic,Low,StackedMicrovia,HASL,LineB,Chamber_2,VendorB,2.761,10,2.0,362,-55,150,205,8.09,74,85,33.09,0.067,9.488,0.970892,2,216.04,669.68,4.24,5.053,1.43,430,4.47,245,8.5,255.0,47.0,0.27,2.628,129.531,67.992,10.199,2.27,10.411,3.6239,1.006076,1,0
FR4,SACXPlus,Acrylic,Medium,BlindBuried,OSP,LineA,Chamber_2,VendorC,1.273,12,3.0,1891,-40,105,145,10.363,83,62,96.16,32.324,12.02,1.003773,3,60.11,212.09,22.58,4.867,1.505,118,4.476,255,43.31,136.0,69.0,0.18,3.418,154.191,138.151,20.419,3.394,16.61,5.175,1.055718,1,0
Rogers,SnAgCu,Acrylic,Low,BlindBuried,ImmAg,LineC,Chamber_1,VendorB,0.99,6,1.0,639,-40,85,125,10.251,24,83,7.0,35.388,7.774,0.988242,2,227.45,528.32,10.57,14.748,0.58,641,6.546,245,48.78,287.0,31.0,0.05,5.146,102.584,46.308,3.683,3.294,7.77,2.401,1.01197,0,0
Ceramic,SACXPlus,Silicone,Medium,Through,OSP,LineA,Chamber_3,VendorD,1.455,6,1.0,1128,-20,125,145,11.073,97,36,11.88,37.615,17.391,0.993211,2,124.96,438.17,14.76,0.338,0.102,5,5.013,265,18.17,400.0,8.0,0.01,3.682,92.022,99.903,2.649,2.677,16.961,3.0933,1.023934,1,0
HighTg_FR4,LowTemp,Silicone,Medium,Microvia,OSP,LineB,Chamber_2,VendorC,1.338,2,1.0,391,-65,70,135,17.545,58,26,59.65,0.2,12.7,1.01052,1,30.61,451.65,14.16,2.423,,220,2.704,245,48.14,172.0,55.0,0.13,1.158,124.908,45.094,9.198,2.281,17.601,2.8963,1.039787,0,0
FR4,LowTemp,None,Medium,Through,ENIG,LineC,Chamber_2,VendorC,1.586,8,1.0,597,-20,105,125,15.511,46,70,51.8,83.459,,1.007491,0,193.58,83.68,11.85,6.88,0.497,307,2.238,245,71.66,136.0,69.0,0.18,3.989,89.902,93.376,18.278,2.672,1.925,2.067,1.028316,0,0
Polyimide,LowTemp,None,Medium,Through,ImmAg,LineB,Chamber_3,VendorA,2.01,6,1.0,1498,-40,85,125,15.039,17,12,15.6,7.631,6.699,,0,28.48,539.43,29.92,5.711,1.889,154,6.662,235,35.04,255.0,47.0,0.27,1.092,127.19,182.004,6.179,3.759,21.401,3.4614,1.019377,1,0
FR4,SACXPlus,Parylene,High,Through,HASL,LineA,Chamber_1,VendorB,1.967,6,1.0,582,-20,105,125,15.082,90,30,88.31,,5.652,1.006237,0,157.29,299.33,24.53,2.136,0.406,306,4.502,245,,136.0,69.0,0.18,4.878,50.386,45.35,16.186,2.334,,2.1313,1.027682,0,0
FR4,SACXPlus,Acrylic,Medium,BlindBuried,HASL,LineB,Chamber_1,VendorB,2.166,4,2.0,1154,-40,105,145,14.445,24,11,68.05,12.111,5.319,0.996397,1,194.91,244.07,30.56,2.597,0.53,121,1.213,245,12.66,136.0,69.0,0.18,6.253,91.929,82.816,19.008,1.946,2.416,2.7238,1.023536,0,0
FR4,SnAgCu,None,High,StackedMicrovia,ImmAg,LineC,Chamber_1,VendorD,1.029,6,2.0,1016,-55,70,125,12.482,25,46,51.51,15.646,3.812,1.005005,0,120.76,314.07,27.51,4.986,0.557,316,6.871,255,14.6,136.0,69.0,0.18,7.887,174.495,59.479,12.06,3.245,21.124,3.6099,1.041285,1,0
Ceramic,SACXPlus,Acrylic,Medium,Microvia,HASL,LineD,Chamber_2,VendorD,0.796,8,1.0,1368,-55,125,180,5.213,36,110,56.02,1.182,3.343,0.999758,2,169.22,612.91,14.17,1.588,0.563,82,3.606,235,16.71,400.0,8.0,0.01,10.364,244.353,117.099,4.617,2.804,18.157,5.6644,1.056388,1,1
Polyimide,LowTemp,Parylene,Medium,Through,ENIG,LineB,Chamber_1,VendorC,2.361,4,0.5,597,-55,105,160,15.519,57,67,79.25,4.232,15.663,0.981958,1,145.1,464.11,2.1,,0.292,401,2.653,245,26.32,255.0,47.0,0.27,1.561,95.036,94.999,9.411,2.341,9.41,2.7934,1.009388,0,0
Polyimide,SnAgCu,Parylene,Medium,Through,ENIG,LineA,Chamber_3,VendorD,1.156,6,2.0,1087,-55,85,140,5.611,107,90,15.02,4.271,17.808,0.991442,0,33.61,26.36,10.16,,0.152,403,1.322,255,2.33,255.0,47.0,0.27,1.602,109.144,81.579,3.261,2.162,8.971,2.6671,1.017884,0,0
Ceramic,SACXPlus,Parylene,High,Microvia,ENIG,LineB,Chamber_1,VendorC,1.363,2,0.5,104,-20,105,125,13.268,92,91,91.85,0.053,2.881,0.971055,2,171.94,179.47,11.75,6.366,0.421,699,1.97,255,34.62,400.0,8.0,0.01,4.819,36.584,12.232,5.277,2.437,,1.8298,0.988824,0,0
HighTg_FR4,SnAgCu,Silicone,Medium,BlindBuried,HASL,LineA,Chamber_2,VendorA,1.657,8,2.0,1160,-55,105,160,2.709,90,20,16.36,0.054,14.243,1.002222,0,229.49,492.4,3.47,4.642,0.782,122,0.823,255,63.86,172.0,55.0,0.13,4.128,135.479,104.591,5.311,2.186,12.608,2.7725,1.030009,0,0
HighTg_FR4,SnPb,Acrylic,Medium,Through,ENIG,LineC,Chamber_2,VendorB,2.204,4,1.0,268,-55,70,125,10.213,28,114,48.19,1.79,4.096,1.004763,1,94.11,615.4,5.24,4.208,1.239,204,6.241,255,33.84,172.0,55.0,0.13,1.27,46.184,23.83,8.221,2.343,0.0,1.3831,1.01866,0,0
FR4,SnAgCu,Acrylic,High,BlindBuried,ENIG,LineC,Chamber_1,VendorA,1.044,10,3.0,1613,-55,105,160,6.283,80,23,28.78,3.487,9.39,0.991547,1,46.01,385.89,0.78,9.045,0.526,449,5.395,255,,136.0,69.0,0.18,2.167,198.533,143.138,13.043,3.8,13.667,3.6035,1.027277,1,0
FR4,SnAgCu,None,High,Microvia,ENIG,LineC,Chamber_2,VendorA,2.595,6,2.0,1875,-40,150,190,12.917,46,33,67.2,10.803,3.548,0.998611,0,74.91,422.71,14.91,1.268,0.608,410,8.202,245,41.37,136.0,69.0,0.18,2.53,192.113,232.159,65.387,5.03,20.67,5.7637,1.056167,1,1
Polyimide,SACXPlus,Silicone,High,StackedMicrovia,,LineD,Chamber_2,,1.375,6,2.0,907,-55,85,140,15.511,60,81,83.26,15.265,4.88,0.988311,1,159.09,211.14,5.77,2.476,0.38,429,1.747,245,70.21,255.0,47.0,0.27,4.269,138.921,54.911,12.038,2.929,17.723,3.4531,1.022438,1,0
HighTg_FR4,SnAgCu,Silicone,Low,Microvia,ImmAg,LineB,Chamber_2,VendorD,2.764,4,2.0,1947,-65,125,190,1.067,78,61,62.73,4.292,7.392,1.015077,0,236.32,115.26,9.23,8.549,0.866,607,2.885,265,21.31,172.0,55.0,0.13,3.252,187.201,203.102,10.367,3.281,17.168,4.3863,1.059601,1,0
HighTg_FR4,SnAgCu,None,Low,Through,ENIG,LineD,Chamber_2,VendorA,1.299,6,1.0,887,-20,105,125,2.766,25,30,26.61,0.434,12.691,,0,198.2,317.55,16.34,3.842,0.792,354,5.579,255,,172.0,55.0,0.13,4.35,85.33,77.443,6.61,3.423,10.55,2.2696,1.006915,0,0
Ceramic,SnAgCu,NanoCeramic,Medium,Microvia,ImmAg,LineC,Chamber_2,VendorA,2.224,4,1.0,1926,-55,70,125,16.719,45,46,77.7,5.538,8.533,0.996268,1,191.39,386.01,5.58,0.533,1.425,313,4.9,265,55.05,400.0,8.0,0.01,2.241,138.746,112.938,5.211,3.979,,3.6186,1.032319,1,0
Polyimide,SnPb,Acrylic,High,Through,ENIG,LineA,Chamber_2,VendorA,1.491,4,2.0,1163,-20,125,145,4.915,51,52,92.72,0.36,14.581,0.984421,0,98.0,403.93,2.23,3.005,0.127,248,4.811,265,32.2,255.0,47.0,0.27,2.382,124.551,168.058,12.332,2.886,31.593,4.7851,1.031526,1,0
HighTg_FR4,SACXPlus,None,Medium,StackedMicrovia,HASL,LineC,Chamber_2,VendorB,2.457,4,1.0,1236,-65,105,170,13.37,106,75,20.81,24.993,1.739,1.002818,0,153.43,149.39,26.04,4.674,0.761,11,1.153,235,60.72,172.0,55.0,0.13,4.388,146.04,92.258,9.333,2.334,11.01,3.0377,1.033281,1,0
HighTg_FR4,SACXPlus,Acrylic,Low,BlindBuried,OSP,LineC,Chamber_1,VendorB,1.671,4,1.0,922,-40,125,165,14.776,117,96,29.32,1.248,10.293,1.012458,1,107.73,72.43,30.1,5.267,1.113,287,0.568,255,68.82,172.0,55.0,0.13,3.664,104.974,83.274,13.4,2.465,14.211,4.0198,1.053157,1,0
FR4,SnAgCu,Parylene,Medium,Through,ImmAg,LineD,Chamber_2,VendorA,2.528,8,1.0,2061,-40,105,145,13.537,116,48,54.72,45.004,,0.975088,0,31.04,248.25,11.48,3.883,0.561,253,6.247,255,67.7,136.0,69.0,0.18,0.768,107.37,183.291,15.506,4.744,12.457,2.7619,1.002019,0,0
FR4,SnPb,NanoCeramic,Medium,BlindBuried,HASL,LineA,Chamber_1,VendorB,2.283,4,1.0,1566,-65,70,135,1.352,66,51,74.06,0.132,2.12,1.007848,0,127.08,565.94,15.73,6.845,0.215,521,6.132,255,32.77,136.0,69.0,0.18,2.434,134.525,128.925,8.798,3.871,14.613,3.9612,1.047771,1,0
HighTg_FR4,SnPb,Silicone,High,Through,OSP,LineB,Chamber_2,VendorE,1.931,10,1.0,1118,-40,70,110,13.449,79,17,17.68,10.66,5.56,1.019579,1,139.63,205.52,9.8,0.987,0.479,506,0.631,235,65.52,172.0,55.0,0.13,2.5,83.639,94.987,5.705,2.611,0.0,1.7672,1.037597,0,0
FR4,SnPb,NanoCeramic,Low,Through,OSP,LineC,Chamber_1,VendorB,1.225,10,0.5,1759,-55,85,140,17.339,88,115,10.66,1.307,1.89,,1,206.16,484.92,15.71,4.281,2.132,195,7.131,255,50.84,136.0,69.0,0.18,5.006,164.563,176.116,11.65,4.399,9.765,3.9973,1.041583,1,0
HighTg_FR4,SnAgCu,Parylene,Low,BlindBuried,HASL,LineA,Chamber_3,VendorB,1.246,8,1.0,1039,-55,105,160,7.143,95,76,58.16,0.132,13.958,,0,187.42,196.58,3.02,2.088,1.212,135,6.611,245,6.08,172.0,55.0,0.13,3.025,145.56,94.513,7.997,2.896,17.853,3.7752,1.02935,1,0
Rogers,SnAgCu,Parylene,Medium,Microvia,ENIG,LineC,Chamber_1,VendorC,2.782,2,1.0,1933,-20,150,170,13.016,83,35,79.34,3.502,9.133,0.999543,0,118.82,179.74,15.62,4.308,0.737,488,2.159,255,3.12,287.0,31.0,0.05,2.355,166.271,241.397,6.783,2.775,20.794,5.4936,1.054454,1,1
FR4,SnPb,Parylene,Low,Microvia,ENIG,LineB,Chamber_1,VendorB,2.643,6,2.0,1065,-20,125,145,5.555,110,10,33.38,0.25,,0.993453,1,128.46,163.56,15.69,0.685,0.625,480,4.987,255,29.05,136.0,69.0,0.18,2.144,131.014,159.385,23.619,3.117,8.61,3.1126,1.024375,1,0
FR4,SnPb,Acrylic,Medium,BlindBuried,HASL,LineA,Chamber_1,VendorC,0.991,10,1.0,1790,-55,125,180,17.956,50,115,59.63,0.461,1.013,1.023572,0,193.96,311.45,10.44,3.334,0.359,207,2.529,245,46.6,136.0,69.0,0.18,8.256,286.057,256.385,53.917,2.766,25.389,6.7567,1.092732,1,1
FR4,SnPb,Parylene,Low,Through,ImmAg,LineA,Chamber_1,VendorB,1.129,4,3.0,589,-40,105,145,4.383,86,10,79.92,1.603,4.047,1.01002,0,82.17,202.72,29.51,3.235,0.742,38,7.156,245,64.44,136.0,69.0,0.18,4.292,101.35,76.633,11.265,2.703,11.434,2.6034,1.036315,0,0
